TIME,RATE,ERROR,FRACEXP
274752000.79108006,2529.648,50.295605,1.0
274752001.79108006,2649.8484,51.476677,1.0
274752002.79108006,2547.0447,50.468254,1.0
274752003.79108006,2534.801,50.34681,1.0
274752004.79108006,2628.072,51.264725,1.0
274752005.79108006,2546.5452,50.463306,1.0
274752006.79108006,2541.4421,50.41272,1.0
274752007.79108006,2581.697,50.810402,1.0
274752008.79108006,2551.721,50.51456,1.0
274752009.79108006,2544.9316,50.447315,1.0
274752010.79108006,2596.3228,50.954124,1.0
274752011.79108006,2532.554,50.324486,1.0
274752012.79108006,2574.37,50.73825,1.0
274752013.79108006,2580.669,50.800285,1.0
274752014.79108006,2508.9292,50.08921,1.0
274752015.79108006,2461.9072,49.61761,1.0
274752016.79108006,2585.6902,50.84968,1.0
274752017.79108006,2549.0496,50.488113,1.0
274752018.79108006,2527.5188,50.274433,1.0
274752019.79108006,2593.7678,50.929047,1.0
274752020.79108006,2631.1404,51.294643,1.0
274752021.79108006,2551.7173,50.514526,1.0
274752022.79108006,2710.699,52.064373,1.0
274752023.79108006,2703.3247,51.993507,1.0
274752024.79108006,2583.7292,50.8304,1.0
274752025.79108006,2534.267,50.341503,1.0
274752026.79108006,2703.7158,51.99727,1.0
274752027.79108006,2523.2751,50.232212,1.0
274752028.79108006,2517.7405,50.17709,1.0
274752029.79108006,2627.7979,51.26205,1.0
274752030.79108006,2528.9636,50.288803,1.0
274752031.79108006,2519.8691,50.1983,1.0
274752032.79108006,2601.8079,51.00792,1.0
274752033.79108006,2633.099,51.313732,1.0
274752034.79108006,2609.2642,51.080956,1.0
274752035.79108006,2645.997,51.439255,1.0
274752036.79108006,2564.535,50.64124,1.0
274752037.79108006,2561.6584,50.612827,1.0
274752038.79108006,2549.155,50.48916,1.0
274752039.79108006,2551.7583,50.51493,1.0
274752040.79108006,2467.8718,49.67768,1.0
274752041.79108006,2736.4543,52.31113,1.0
274752042.79108006,2639.2651,51.37378,1.0
274752043.79108006,2612.579,51.113396,1.0
274752044.79108006,2669.0637,51.662983,1.0
274752045.79108006,2589.358,50.885735,1.0
274752046.79108006,2533.614,50.33502,1.0
274752047.79108006,2594.4143,50.935394,1.0
274752048.79108006,2636.7275,51.349075,1.0
274752049.79108006,2554.015,50.537262,1.0
274752050.79108006,2510.8755,50.10864,1.0
274752051.79108006,2641.5054,51.395576,1.0
274752052.79108006,2596.615,50.956993,1.0
274752053.79108006,2576.2473,50.75675,1.0
274752054.79108006,2532.0972,50.319946,1.0
274752055.79108006,2519.3818,50.193443,1.0
274752056.79108006,2645.068,51.430225,1.0
274752057.79108006,2641.7776,51.398224,1.0
274752058.79108006,2623.6587,51.22166,1.0
274752059.79108006,2647.4502,51.45338,1.0
274752060.79108006,2585.0757,50.84364,1.0
274752061.79108006,2606.5469,51.05435,1.0
274752062.79108006,2581.43,50.807774,1.0
274752063.79108006,2577.7207,50.77126,1.0
274752064.79108006,2440.1511,49.397884,1.0
274752065.79108006,2551.6807,50.514164,1.0
274752066.79108006,2544.6365,50.44439,1.0
274752067.79108006,2503.79,50.037888,1.0
274752068.79108006,2560.4224,50.600616,1.0
274752069.79108006,2428.6826,49.281666,1.0
274752070.79108006,2582.1206,50.81457,1.0
274752071.79108006,2475.615,49.755554,1.0
274752072.79108006,2523.9773,50.2392,1.0
274752073.79108006,2605.4214,51.043327,1.0
274752074.79108006,2597.7324,50.967957,1.0
274752075.79108006,2659.6824,51.57211,1.0
274752076.79108006,2685.419,51.82103,1.0
274752077.79108006,2555.6047,50.55299,1.0
274752078.79108006,2687.567,51.841747,1.0
274752079.79108006,2539.0872,50.389355,1.0
274752080.79108006,2583.8828,50.83191,1.0
274752081.79108006,2524.1282,50.240704,1.0
274752082.79108006,2619.5396,51.18144,1.0
274752083.79108006,2577.6213,50.77028,1.0
274752084.79108006,2483.9055,49.838795,1.0
274752085.79108006,2513.661,50.13642,1.0
274752086.79108006,2596.9717,50.96049,1.0
274752087.79108006,2570.714,50.70221,1.0
274752088.79108006,2611.5632,51.103455,1.0
274752089.79108006,2593.6274,50.92767,1.0
274752090.79108006,2611.9417,51.10716,1.0
274752091.79108006,2655.5552,51.532078,1.0
274752092.79108006,2594.54,50.936626,1.0
274752093.79108006,2570.8699,50.703747,1.0
274752094.79108006,2655.8406,51.534847,1.0
274752095.79108006,2622.5747,51.21108,1.0
274752096.79108006,2562.9749,50.62583,1.0
274752097.79108006,2583.2988,50.826164,1.0
274752098.79108006,2493.8489,49.93845,1.0
274752099.79108006,2622.1047,51.20649,1.0
274752100.79108006,2409.458,49.08623,1.0
274752101.79108006,2544.4685,50.442726,1.0
274752102.79108006,2553.8838,50.535965,1.0
